%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
50.0, -68685.79312393584, -10506.12455679471, -8290.552591151309, -26359.658105332626, -73535.56287712608, -69719.94128464953, -76015.55597967577, -74030.11757494422, -73893.21314015545, -76858.46261482986, -7731.8707384909085, -7352.293414150884, -73831.63408418109, -71305.70814677574, -60986.69004281641, -29841.255228669077, -0.0685, 0.8365, -0.52, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762565564E9, 0.0, 2026-01-31 14:52:42.565
52.0, -68738.69970306155, -10629.550889676917, -8364.045126920359, -26265.512557686874, -73580.28871778116, -69582.6792219495, -75855.47278588686, -74259.82645271141, -73981.18960633155, -76939.53239196926, -7771.0756982655175, -7256.493837415438, -73915.38607065512, -71163.81927297346, -61049.2078720579, -29737.766651841004, -0.0685, 0.8365, -0.52, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762575536E9, 0.0, 2026-01-31 14:52:42.575
54.0, -68765.41003768564, -10748.551577156972, -8377.433821849087, -26229.23567643591, -73594.48207551028, -69434.889487611, -75694.69668801985, -74607.59724469153, -73996.00881290542, -76953.92691539848, -7816.896774398897, -7195.51827854136, -73930.0488150178, -71099.66976638672, -61061.478979763866, -29657.076854357347, -0.0685, 0.8365, -0.52, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762585575E9, 0.0, 2026-01-31 14:52:42.585
56.0, -68836.39917807569, -10871.083840260964, -8373.589321802774, -26265.736075131426, -73581.65217419293, -69305.87521861496, -75491.2734617321, -74815.49081987033, -74002.62492926419, -76962.8676131806, -7846.825760224553, -7162.840028147702, -73931.5463818963, -71110.95739733665, -61036.62383992957, -29621.58228416232, -0.0685, 0.8365, -0.52, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762591614E9, 0.0, 2026-01-31 14:52:42.591
58.0, -68897.39708869423, -10966.637547807402, -8342.855673176728, -26310.126639619666, -73611.13412512948, -69258.8918517699, -75257.20599379612, -74787.41702883448, -74006.82705722179, -76968.09792138315, -7870.138629691438, -7196.278237852841, -73926.13725973813, -71189.32261339696, -60978.88928400151, -29612.976862547024, -0.044250000000000005, 0.86425, -0.517, 192.0, 127.5, 48.0, 13.5, 112.0, 119.5, 120.0, 0.0, 0.0, 0.0, 1.76989276259859E9, 0.0, 2026-01-31 14:52:42.598
60.0, -68966.19575812767, -11078.57508403958, -8338.921766152593, -26368.55409962584, -73566.90002285242, -69337.32412306359, -75077.94500326455, -74720.96529256884, -74022.22740915148, -76982.04540992324, -7883.303807175614, -7241.629927352658, -73948.24313500442, -71258.21068980821, -60914.27039078122, -29632.266418011957, -0.044250000000000005, 0.86425, -0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762608719E9, 0.0, 2026-01-31 14:52:42.608
62.0, -69002.76321205655, -11190.64673073849, -8316.212393786001, -26416.409184504653, -73502.97403371026, -69455.27427855424, -74938.40306263007, -74726.26265600475, -73944.28687623583, -76902.33908919562, -7920.1171302935045, -7319.235184101485, -73865.11699737514, -71378.35131625549, -60852.95955574031, -29691.386782096244, -0.044250000000000005, 0.86425, -0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762614665E9, 0.0, 2026-01-31 14:52:42.614
64.0, -69047.15377654479, -11290.223752286882, -8319.45339673202, -26444.013588906957, -73415.31049195654, -69601.49939078085, -74847.47616618588, -74697.49596089077, -73887.71461101944, -76844.82805071212, -7933.349363011046, -7392.995940803999, -73809.23763623687, -71471.53573888967, -60781.12104906095, -29735.777346584484, -0.044250000000000005, 0.86425, -0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76989276262175E9, 0.0, 2026-01-31 14:52:42.621
66.0, -69088.68331774275, -11409.984399078417, -8310.557402438808, -26476.04363871141, -73331.22322931567, -69762.00726771442, -74779.99624967531, -74594.23090150725, -73778.99572598883, -76733.87399123597, -7947.945052140361, -7488.7955175394445, -73697.1436377935, -71605.86972306606, -60719.22906866421, -29793.869530423824, -0.044250000000000005, 0.86425, -0.517, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76989276262959E9, 0.0, 2026-01-31 14:52:42.629
68.0, -69113.22553315468, -11510.32137993829, -8313.351370495722, -26530.939523093646, -73227.22056236512, -69925.28676096043, -74728.5872374281, -74519.0843366485, -73711.35934726708, -76665.32119099156, -7950.023764374705, -7570.893474923787, -73627.4285468374, -71724.60218961265, -60660.44398074675, -29851.738196818616, -0.037125000000000005, 0.893125, -0.5135000000000001, 192.0, 127.5, 8.0, 14.0, 104.0, 120.0, 8.0, 0.0, 0.0, 0.0, 1.769892762638636E9, 0.0, 2026-01-31 14:52:42.638
